Column1;Column2;Column3;Column4
Arrojadite-(KNa);KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2;K Na Ca Fe Al P O H;monoclinic
Arrojadite-(PbFe);Pb2+Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2;Pb Fe Ca Na Al P O H;monoclinic
Arrojadite-(SrFe);SrFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2;Sr Fe Ca Na Al P O H;monoclinic
Arsenatrotitanite;NaTi4+(As5+O4)O;Na Ti As O;monoclinic
Arsenbrackebuschite;Pb2+2(Fe3+,Zn2+)(As5+O4)2(OH,H2O);Pb Fe Zn As O H;monoclinic
Arsendescloizite;Pb2+Zn2+As5+O4(OH);Pb Zn As O H;orthorhombic
Arsenic;As;As;hexagonal
Arseniopleite;NaCaMn2+Mn2+2(As5+O4)3;Na Ca Mn As O;monoclinic
Arseniosiderite;Ca2Fe3+3O2(As5+O4)3·3H2O;Ca Fe O As H;monoclinic
Arsenmarcobaldiite;Pb2+12(As3+3.2Sb3+2.8)S2-21;Pb As Sb S;triclinic
Arsenmedaite;Mn2+6As5+Si5O18(OH);Mn As Si O H;monoclinic
Arsenoclasite;Mn2+5(As5+O4)2(OH)4;Mn As O H;orthorhombic
Arsenocrandallite;CaAl3(As5+O4)(As5+O3OH)(OH)6;Ca Al As O H;hexagonal
Arsenoflorencite-(Ce);Ce3+Al3(As5+O4)2(OH)6;Ce Al As O H;hexagonal
Arsenoflorencite-(La);La3+Al3(As5+O4)2(OH)6;La Al As O H;hexagonal
Arsenogoldfieldite;Cu1+6Cu1+6(As3+2Te4+2)S2-13;Cu As Te S;cubic
Arsenogorceixite;BaAl3As5+O4(As5+O3OH)(OH)6;Ba Al As O H;hexagonal
Arsenogoyazite;SrAl3(As5+O4)(As5+O3OH)(OH)6;Sr Al As O H;hexagonal
Arsenohauchecornite;Ni18Bi3AsS16;Ni Bi As S;tetragonal
Arsenohopeite;Zn2+3(As5+O4)2·4H2O;Zn As O H;orthorhombic
Arsenolamprite;As;As;orthorhombic
Arsenolite;As3+2O3;As O;cubic
Arsenopalladinite;Pd8As3;Pd As;triclinic
Arsenopyrite;Fe3+(AsS)3-;Fe As S;monoclinic|triclinic
Arsenotu?ekite;Ni18Sb3AsS16;Ni Sb As S;tetragonal
Arseno?stale?ite;Cu1+6Cu1+6(As3+2Te4+2)Se2-13;Cu As Te Se;cubic
Arsenovanmeersscheite;U6+(U6+O2)3(As5+O4)2(OH)6·4H2O;U O As H;orthorhombic
Arsenoveszelyite;Cu2+2Zn2+(As5+O4)(OH)3·2H2O;Cu Zn As O H;monoclinic
Arsenowagnerite;Mg2As5+O4F;Mg As O F;monoclinic
Arsenquatrandorite;Ag1+17.6Pb2+12.8Sb3+38.1As3+11.5S2-96;Ag Pb Sb As S;monoclinic
Arsentsumebite;Pb2+2Cu2+(As5+O4)(S6+O4)(OH);Pb Cu As O S H;monoclinic
Arsenudinaite;NaMg4(As5+O4)3;Na Mg As O;tetragonal
Arsenuranospathite;Al(U6+O2)2(As5+O4)2F·20H2O;Al U O As F H;tetragonal|orthorhombic
Arsenuranylite;Ca(U6+O2)4(As5+O4)2(OH)4·6H2O;Ca U O As H;orthorhombic
Arsiccioite;Ag1+Hg2+2Tl1+As3+2S2-6;Ag Hg Tl As S;tetragonal
Arsmirandite;Na18Cu2+12Fe3+O8(As5+O4)8Cl5;Na Cu Fe O As Cl;monoclinic
Arthurite;Cu2+Fe3+2(As5+O4)2(OH)2·4H2O;Cu Fe As O H;monoclinic
Artinite;Mg2CO3(OH)2·3H2O;Mg C O H;monoclinic
Artroeite;Pb2+AlF3(OH)2;Pb Al F O H;triclinic
Artsmithite;Hg1+4Al(PO4)1.74(OH)1.78;Hg Al P O H;monoclinic
Arupite;Ni2+3(PO4)2·8H2O;Ni P O H;monoclinic
Arzamastsevite;K6Al5Si6O20(OH)4Cl;K Al Si O H Cl;tetragonal
Arzrunite;Pb2+2Cu2+4S6+O4(OH)4Cl6·2H2O;Pb Cu S O H Cl;
Asagiite;Ni2+Cu2+4(S6+O4)2(OH)6·6H2O;Ni Cu S O H;monoclinic
Asbecasite;Ca3Ti4+As3+6Be2Si2O20;Ca Ti As Be Si O;hexagonal
Asbolane;Mn4+(O,OH)2·(Co3+,Ni2+,Mg,Ca)x(OH)2x·nH2O;Mn O H Co Ni Mg Ca;hexagonal
Aschamalmite;Pb2+6-3xBi3+2+xS2-9;Pb Bi S;orthorhombic|monoclinic
?sgruvanite-(Ce);Ce3+16Ca5Al(SiO4)6(As3+O3)8(CO3)2Cl4F3(OH)2;Ce Ca Al Si O As C Cl F H;hexagonal
Ashburtonite;HPb2+4Cu2+4(Si4O12)(HCO3)4(OH)4Cl;H Cu Pb Si O C Cl;tetragonal
Ashcroftine-(Y);K5Na5Y12Si28O70(OH)2(CO3)8·8H2O;K Na Y Si O H C;tetragonal
Ashoverite;Zn2+(OH)2;Zn O H;tetragonal
Asimowite;Fe2+2SiO4;Fe Si O;orthorhombic
Asisite;Pb2+7SiO8Cl2;Pb Si O Cl;tetragonal
?skagenite-(Nd);Mn2+Nd(Al2Fe3+)[Si2O7][SiO4]O2;Mn Nd Al Fe Si O;monoclinic
Aspedamite;[box]12(Fe3+,Fe2+)3Nb5+4[Th4+(Nb5+,Fe3+)12O42][(H2O),(OH)]12;Fe Nb Th O H;cubic
Aspidolite;NaMg3(Si3Al)O10(OH)2;Na Mg Si Al O H;triclinic|monoclinic
Asselbornite;Pb2+(U6+O2)4(Bi3+O)3(As5+O4)2(OH)7·4H2O;Pb U O Bi As H;cubic
Astrocyanite-(Ce);Cu2+2Ce3+2(U6+O2)(CO3)5(OH)2·1.5H2O;Cu Ce U O C H;hexagonal
Astrophyllite;K2NaFe2+7Ti4+2(Si4O12)2O2(OH)4F;K Na Fe Ti Si O H F;triclinic
Atacamite;Cu2+2Cl(OH)3;Cu Cl O H;orthorhombic
Atelestite;Bi3+2O(As5+O4)(OH);Bi O As H;monoclinic
Atelisite-(Y);Y4Si3O8(OH)8;Y Si O H;tetragonal
Atencioite;Ca2Fe2+3Mg2Be4(PO4)6(OH)4·6H2O;Ca Fe Mg Be P O H;triclinic
Athabascaite;Cu5Se4;Cu Se;orthorhombic
Atheneite;Pd2(As0.75Hg0.25);Pd As Hg;hexagonal
Atlasovite;Cu2+6Fe3+Bi3+O4(S6+O4)5·KCl;Cu Fe Bi O S K Cl;tetragonal
Atokite;Pd3Sn;Pd Sn;cubic
Attakolite;CaMn2+Al4(HSiO4)(PO4)3(OH)4;Ca Mn Al H Si O P;monoclinic
Attikaite;Ca3Cu2+2Al2(As5+O4)4(OH)4·2H2O;Ca Cu Al As O H;orthorhombic
Aubertite;Cu2+Al(S6+O4)2Cl·14H2O;Cu Al S O Cl H;triclinic
Auerbakhite;Mn2+Tl1+2As3+2S2-5;Mn Tl As S;orthorhombic
Augelite;Al2PO4(OH)3;Al P O H;monoclinic
Augite;(Ca,Mg,Fe2+)2Si2O6;Ca Mg Fe Si O;monoclinic
Auriacusite;Fe3+Cu2+(As5+O4)O;Fe Cu As O;orthorhombic
Aurichalcite;(Zn2+,Cu2+)5(CO3)2(OH)6;Zn Cu C O H;monoclinic
Auricupride;Cu3Au;Cu Au;cubic
Aurihydrargyrumite;Au6Hg5;Au Hg;hexagonal
Aurivilliusite;Hg1+Hg2+OI1-;Hg O I;monoclinic
Auropearceite;[Ag1+9Au1+S2-4][Ag1+6As3+2S2-7];Ag Au S As;hexagonal
Auropolybasite;[Ag1+9Au1+S2-4][Ag1+6Sb3+2S2-7];Ag Au S Sb;hexagonal
Aurorite;Mn2+Mn4+3O7·3H2O;Mn O H;hexagonal
Auroselenide;AuSe;Au Se;monoclinic
Aurostibite;AuSb2;Au Sb;cubic
Austinite;CaZn2+As5+O4(OH);Ca Zn As O H;orthorhombic
Autunite;Ca(U6+O2)2(PO4)2·10-12H2O;Ca U O P H;orthorhombic
Avdeevite;NaAl4(Be5Li)(Si6O18)2(H2O)1-2;Na Al Be Li Si O H;hexagonal
Avdoninite;K2Cu2+5Cl8(OH)4·2H2O;K Cu Cl O H;monoclinic
Averievite;Cu2+5O2(V5+O4)2·Cu2+Cl2;Cu O V Cl;hexagonal
Avicennite;Tl3+2O3;Tl O;cubic
Avogadrite;KBF4;K B F;orthorhombic
Awaruite;Ni3Fe;Ni Fe;cubic
Axelite;Na14Cu2+7(As5+O4)8F2Cl2;Na Cu As O F Cl;tetragonal
Axinite-(Fe);Ca4Fe2+2Al4[B2Si8O30](OH)2;Ca Fe Al B Si O H;triclinic
Axinite-(Mg);Ca4Mg2Al4[B2Si8O30](OH)2;Ca Mg Al B Si O H;triclinic
Axinite-(Mn);Ca4Mn2+2Al4[B2Si8O30](OH)2;Ca Mn Al B Si O H;triclinic
Azoproite;Mg2((Ti4+,Mg),Fe3+)O2BO3;Mg Ti Fe O B;orthorhombic
Azurite;Cu2+3(CO3)2(OH)2;Cu C O H;monoclinic
Bab?nekite;Cu2+3(As5+O4)2·8H2O;Cu As O H;monoclinic
Babefphite;BaBePO4F;Ba Be P O F;triclinic|orthorhombic, tetragonal
Babingtonite;Ca2Fe2+Fe3+Si5O14(OH);Ca Fe Si O H;triclinic
Babkinite;Pb2Bi2(S,Se)3;Pb Bi S Se;hexagonal
Babunaite-(Nd);Nd(As5+O4);Nd As O;tetragonal
Bacaferrite;BaCaFe3+4O8;Ba Ca Fe O;hexagonal
Backite;Pb2+2AlTe6+O6Cl;Pb Al Te O Cl;hexagonal
Badakhshanite-(Y);Y2Mn2+4Al(Si2B7BeO24);Y Mn Al Si B Be O;orthorhombic
Badalovite;NaNaMg(MgFe3+)(As5+O4)3;Na Mg Fe As O;monoclinic
Baddeleyite;Zr4+O2;Zr O;orthorhombic|monoclinic
Badengzhuite;TiP;Ti P;hexagonal
Bafertisite;Ba2Fe2+4Ti4+2(Si2O7)2O2(OH)2F2;Ba Fe Ti Si O H F;monoclinic|orthorhombic
Baghdadite;Ca3Zr4+(Si2O7)O2;Ca Zr Si O;monoclinic
Bahariyaite;K(MnO4)1-;K Mn O;orthorhombic
Bahianite;Al5Sb5+3O14(OH)2;Al Sb O H;monoclinic
Baiamareite;Ag1+4Pb2+12Fe2+4Sb3+20S2-48;Ag Pb Fe Sb S;monoclinic
Baileychlore;(Zn2+,Fe2+,Al,Mg)6(Si,Al)4O10(OH)8;Zn Fe Al Mg Si O H;triclinic|monoclinic
Bainbridgeite-(NdCe);Na2Ba2NdCe3+(CO3)6·3H2O;Na Ba Nd Ce C O H;triclinic
Bainbridgeite-(YCe);Na2Ba2YCe3+(CO3)6·3H2O;Na Ba Y Ce C O H;triclinic
Bairdite;Pb2+2Cu2+4Te6+2O10(OH)2(S6+O4)·H2O;Pb Cu Te O H S;monoclinic
Bakakinite;Ca2V5+2O7;Ca V O;triclinic
Bakhchisaraitsevite;Na2Mg5(PO4)4·7H2O;Na Mg P O H;monoclinic
Baksanite;Bi6Te2S3;Bi Te S;hexagonal
Balangeroite;Mg21Si8O27(OH)20;Mg Si O H;triclinic|monoclinic, orthorhombic
Balestraite;KLi2V5+Si4O12;K Li V Si O;monoclinic
Bali??uni?ite;Bi3+2O(S6+O4)2;Bi O S;triclinic
Balipholite;LiBaMg2Al3(Si2O6)2(OH)8;Li Ba Mg Al Si O H;orthorhombic
Balkanite;Ag5Cu9HgS8;Ag Cu Hg S;monoclinic|orthorhombic
Balliranoite;(Na,K)6Ca2(Si6Al6O24)Cl2(CO3);Na K Ca Si Al O Cl C;hexagonal
Balyakinite;Cu2+Te4+O3;Cu Te O;orthorhombic
Bambollaite;Cu(Se,Te)2;Cu Se Te;tetragonal
Bamfordite;Fe3+Mo6+2O6(OH)3·H2O;Fe Mo O H;triclinic
Banalsite;Na2BaAl4Si4O16;Na Ba Al Si O;orthorhombic
Bandylite;Cu2+B(OH)4Cl;Cu B O H Cl;tetragonal
Bannermanite;"(Na,K)xV4+xV5+6-xO15 (0.5&lt;x&lt;0.9)";Na K V O;monoclinic
Bannisterite;(Ca,K,Na)(Mn2+,Fe2+)10(Si,Al)16O38(OH)8·nH2O;Ca K Na Mn Fe Si Al O H;monoclinic
Baotite;Ba4(Ti4+,Nb5+,W6+)8O16(SiO3)4Cl;Ba Ti Nb W O Si Cl;tetragonal
Barahonaite-(Al);(Ca,Cu2+,Na,Fe3+,Al)12Al2(As5+O4)8(OH,Cl)x·nH2O;Ca Cu Na Fe Al As O H Cl;monoclinic
Barahonaite-(Fe);(Ca,Cu2+,Na,Fe3+,Al)12Fe3+2(As5+O4)8(OH,Cl)x·nH2O;Ca Cu Na Fe Al As O H Cl;monoclinic
Bararite;(N3-H4)2SiF6;N H Si F;hexagonal
Baratovite;KLi3Ca7Ti4+2(SiO3)12F2;K Li Ca Ti Si O F;monoclinic
Barberiite;N3-H4BF4;N H B F;orthorhombic
Barbosalite;Fe2+Fe3+2(PO4)2(OH)2;Fe P O H;monoclinic
Barentsite;Na7Al(CO3)2(HCO3)2F4;Na Al H C O F;triclinic
Bariandite;Al0.6(V5+,V4+)8O20·9H2O;Al V O H;monoclinic
Bari?ite;(Mg,Fe2+)3(PO4)2·8H2O;Mg Fe P O H;monoclinic
Barikaite;Ag1+3Pb2+10(Sb3+8As3+11)S2-40;Ag Pb Sb As S;monoclinic
Barioferrite;BaFe3+12O19;Ba Fe O;hexagonal
Bariolakargiite;BaZr4+O3;Ba Zr O;cubic
Bario-olgite;Na(Na,Sr,Ce3+)2Ba(PO4)2;Na Sr Ce Ba P O;tetragonal|hexagonal
Bario-orthojoaquinite;Ba4Fe2+2Ti4+2O2(SiO3)8·H2O;Ba Fe Ti O Si H;orthorhombic
Barioperovskite;BaTi4+O3;Ba Ti O;orthorhombic
Bariopharmacoalumite;Ba0.5Al4(As5+O4)3(OH)4·4H2O;Ba Al As O H;tetragonal|cubic
Bariopharmacosiderite;Ba0.5Fe3+4(As5+O4)3(OH)4·5H2O;Ba Fe As O H;tetragonal|cubic
Bariosincosite;Ba(V4+O)2(PO4)2·4H2O;Ba V O P H;monoclinic|tetragonal
Barkovite;Ni1.5Sn;Ni Sn;hexagonal
Barlowite;Cu2+4BrF(OH)6;Cu Br F O H;hexagonal
Barnesite;Na2V5+6O16·3H2O;Na V O H;monoclinic
Barquillite;Cu1+2(Cd2+,Fe2+)Ge4+S2-4;Cu Cd Fe Ge S;tetragonal
Barrerite;Na2(Al2Si7)O18·6H2O;Na Si Al O H;orthorhombic
Barringerite;(Fe,Ni)2P;Fe Ni P;hexagonal
Barroisite;[box]NaCa[Mg3Al2](Si7Al)O22(OH)2;Na Ca Mg Al Si O H;monoclinic
Barronite;([box]0.5Ba0.5)(U6+O2)2Si5O12(OH)·2H2O;Ba U O Si H;monoclinic
Barrotite;Cu2+9Al(HSiO4)2(S6+O4)(HAs5+O4)0.5(OH)12·8H2O;Cu Al H Si O S As;hexagonal
Barrydawsonite-(Y);Na1.5Y0.5CaSi3O9H;Na Y Ca Si O H;monoclinic
Barstowite;Pb2+4CO3Cl6·H2O;Pb C O Cl H;monoclinic
Bartelkeite;Pb2+Fe2+Ge(Ge2O7)(OH)2·H2O;Pb Fe Ge O H;monoclinic
Bartonite;K6Fe20S26S;K Fe S;tetragonal
Barwoodite;Mn2+6(Nb5+,[box])2(SiO4)2(O,OH)6;Mn Nb Si O H;hexagonal
Barylite;BaBe2Si2O7;Ba Be Si O;monoclinic|orthorhombic
Barysilite;Pb2+8Mn2+(Si2O7)3;Pb Mn Si O;hexagonal
Baryte;BaS6+O4;Ba S O;orthorhombic
Barytocalcite;BaCa(CO3)2;Ba Ca C O;monoclinic
Barytolamprophyllite;(BaK)Ti4+2Na3Ti4+(Si2O7)2O2(OH)2;Ba K Ti Na Si O H;monoclinic
Bassanite;CaS6+O4·0.5H2O;Ca S O H;monoclinic|hexagonal
Bassetite;Fe2+(U6+O2)2(PO4)2(H2O)10;Fe U O P H;tetragonal|monoclinic
Bassoite;SrV4+3O7·4H2O;Sr V O H;monoclinic
Bastn?site-(Ce);Ce3+CO3F;Ce C O F;hexagonal
Bastn?site-(La);LaCO3F;La C O F;hexagonal
Bastn?site-(Nd);NdCO3F;Nd C O F;hexagonal
Bastn?site-(Y);YCO3F;Y C O F;hexagonal
Batagayite;CaZn2+2(Zn2+,Cu2+)6(PO4)4[PO3(OH)]3·12H2O;Ca Zn Cu P O H;monoclinic
Batievaite-(Y);Ca2Y2[(H2O)2[box]]Ti4+(Si2O7)2(OH)2(H2O)2;Ca Y H O Ti Si;triclinic
Batiferrite;BaTi4+2Fe3+8Fe2+2O19;Ba Ti Fe O;hexagonal
Batisite;Na2BaTi4+2(Si4O12)O2;Na Ba Ti O Si;orthorhombic
Batisivite;BaTi4+6(V3+,Cr3+)8(Si2O7)O22;Ba Ti V Cr Si O;monoclinic|triclinic
Batoniite;Al8(S6+O4)5(OH)14(H2O)18·5H2O;Al S O H;triclinic
Baumhauerite;Pb2+12As3+16S2-36;Pb As S;triclinic
Baumhauerite II;Pb2+3As3+4S2-9;Pb As S;triclinic
Baumoite;Ba0.5[(U6+O2)3O8Mo6+2(OH)3](H2O)3;Ba U O Mo H;monoclinic
Baumstarkite;Ag3Sb3S6;Ag Sb S;triclinic
Bauranoite;BaU6+2O7·4-5H2O;Ba U O H;
Bavenite;Ca4Be2+xAl2-xSi9O26-x(OH)2+x (x = 0 to 1);Ca Be Al Si O H;orthorhombic
Bavsiite;Ba2V4+2O2[Si4O12];Ba V O Si;tetragonal
Bayanoboite-(Y);Ba2Y(CO3)2F3;Ba Y C O F;orthorhombic
Bayerite;Al(OH)3;Al O H;monoclinic
Bayldonite;Cu2+3Pb2+O(As5+O3OH)2(OH)2;Cu Pb O As H;monoclinic
Bayleyite;Mg2(U6+O2)(CO3)3·18H2O;Mg U O C H;monoclinic
Baylissite;K2Mg(CO3)2·4H2O;K Mg C O H;monoclinic
Bazhenovite;Ca8(S5)2-(S6+O3S2-)(OH)12·20H2O;Ca S O H;monoclinic
Bazirite;BaZr4+Si3O9;Ba Zr Si O;hexagonal
Bazzite;Be3(Sc,Fe3+,Mg)2Si6O18·Na0.32·nH2O;Be Sc Fe Mg Si O Na H;hexagonal
Bearsite;Be2As5+O4(OH)·4H2O;Be As O H;monoclinic
Bearthite;Ca2Al(PO4)2OH;Ca Al P O H;monoclinic
Beaverite-(Cu);Pb2+Cu2+Fe3+2(S6+O4)2(OH)6;Pb Fe Cu S O H;hexagonal
Beaverite-(Zn);Pb2+Zn2+Fe3+2(S6+O4)2(OH)6;Pb Fe Zn S O H;hexagonal
Bechererite;Zn2+7Cu2+(OH)13[SiO(OH)3S6+O4];Zn Cu O H Si S;hexagonal
Beckettite;Ca2V3+6Al6O20;Ca V Al O;triclinic
Becquerelite;Ca(U6+O2)6O4(OH)6·8H2O;Ca U O H;hexagonal|orthorhombic
Bederite;Ca2Mn2+4Fe3+2(PO4)6·2H2O;Ca Mn Fe P O H;orthorhombic
Beershevaite;CaFe3+3(PO4)3O;Ca Fe P O;monoclinic
B?hierite;TaBO4;Ta B O;tetragonal
Behoite;Be(OH)2;Be O H;orthorhombic
B?hounekite;U4+(S6+O4)2·4H2O;U S O H;orthorhombic
Beidellite;(Na,Ca)0.3Al2(Si,Al)4O10(OH)2·nH2O;Na Ca Al Si O H;
Belakovskiite;Na7(U6+O2)(S6+O4)4(S6+O3OH)·3H2O;Na U O S H;triclinic
Belendorffite;Cu7Hg6;Cu Hg;hexagonal
Belkovite;Ba3Nb5+6(Si2O7)2O12;Ba Nb Si O;hexagonal
Bellbergite;(K,Ba,Sr)2Sr2Ca2(Ca,Na)4(Si,Al)36O72·30H2O;K Ba Sr Ca Na Si Al O H;hexagonal
Bellidoite;Cu2Se;Cu Se;tetragonal
Bellingerite;Cu2+3(I5+O3)6·2H2O;Cu I O H;triclinic
Belloite;Cu2+(OH)Cl;Cu O H Cl;monoclinic
Belmonteite;CaMn2+2(As5+O4)2(H2O)6·H2O;Ca Mn As O H;orthorhombic
Belogubite;Cu2+Zn2+(S6+O4)2·10H2O;Cu Zn S O H;triclinic
Belomarinaite;KNa(S6+O4);K Na S O;hexagonal
Belousovite;KZn2+(S6+O4)Cl;K Zn S O Cl;monoclinic
Belovite-(Ce);NaCe3+Sr3(PO4)3F;Na Ce Sr P O F;hexagonal
Belovite-(La);NaLaSr3(PO4)3F;Na La Sr P O F;hexagonal
Belyankinite;Ca1-2(Ti4+,Zr4+,Nb5+)5O12·9H2O;Ca Ti Zr Nb O H;
Bementite;Mn2+7Si6O15(OH)8;Mn Si O H;monoclinic
Benauite;SrFe3+3(PO4)(PO3OH)(OH)6;Sr Fe P O H;hexagonal
Benavidesite;Pb2+4Mn2+Sb3+6S2-14;Pb Mn Sb S;monoclinic
Bendadaite;Fe2+Fe3+2(As5+O4)2(OH)2·4H2O;Fe As O H;monoclinic
Benitoite;BaTi4+Si3O9;Ba Ti Si O;hexagonal
Benjaminite;Ag3Bi7S12;Ag Bi S;monoclinic
Benleonardite;Ag1+15Cu1+(Sb3+,As3+)2S2-7Te2-4;Ag Cu Sb As S Te;hexagonal|tetragonal
Bennesherite;Ba2Fe2+Si2O7;Ba Fe Si O;tetragonal
Benstonite;Ba6Ca6Mg(CO3)13;Ba Ca Mg C O;hexagonal
Bentorite;Ca6Cr3+2(S6+O4)3(OH)12·26H2O;Ca Cr S O H;hexagonal
Benyacarite;(H2O)2Mn2+2(Ti4+2Fe3+)(PO4)4(OF)(H2O)10·4H2O;H O Mn Ti Fe P F;orthorhombic
Beraunite;Fe3+6(PO4)4O(OH)4·6H2O;Fe P O H;monoclinic
Berborite;Be2BO3(OH)·H2O;Be B O H;hexagonal
Berdesinskiite;V3+2Ti4+O5;V Ti O;monoclinic
Berezanskite;KTi4+2(Li3Si12)O30;K Ti Li Si O;hexagonal
Bergenite;Ca2Ba4(U6+O2)9O6(PO4)6·16H2O;Ca Ba U O P H;monoclinic
Bergslagite;CaBe(As5+O4)(OH);Ca Be As O H;monoclinic
Berlinite;AlPO4;Al P O;hexagonal
Bermanite;Mn2+Mn3+2(PO4)2(OH)2·4H2O;Mn P O H;monoclinic|orthorhombic
Bernalite;Fe3+(OH)3;Fe O H;orthorhombic|tetragonal
Bernardevansite;Al2(Se4+O3)3·6H2O;Al Se O H;monoclinic
Bernardite;Tl1+As3+5S2-8;Tl As S;monoclinic
Bernarlottiite;Pb2+12(As3+10Sb3+6)S2-36;Pb As Sb S;triclinic
Berndlehmannite;Cu2+(Cr3+V3+)S2-4;Cu Cr V S;cubic
Berndtite;Sn4+S2-2;Sn S;hexagonal
Berryite;Cu1+3Ag1+2Pb2+3Bi3+7S2-16;Cu Ag Pb Bi S;monoclinic
Berthierine;(Fe2+,Fe3+,Al)3(Si,Al)2O5(OH)4;Fe Al Si O H;hexagonal|orthorhombic
Berthierite;Fe2+Sb3+2S2-4;Fe Sb S;orthorhombic
Bertossaite;Li2CaAl4(PO4)4(OH)4;Li Ca Al P O H;orthorhombic
Bertrandite;Be4Si2O7(OH)2;Be Si O H;orthorhombic
Beryl;Be3Al2Si6O18;Be Al Si O;hexagonal
Beryllite;Be3SiO4(OH)2·H2O;Be Si O H;
Beryllocordierite-Na;NaMg4(Al5Be)(AlSi5O18)2·2H2O;Na Mg Al Be Si O H;orthorhombic
Beryllonite;NaBePO4;Na Be P O;monoclinic
Beryllosachanbi?skiite-Na;NaMn2+4(Al5Be)(AlSi5O18)2·2H2O;Na Mn Al Be Si O H;orthorhombic
Berzelianite;Cu2-xSe (x ? 0.12);Cu Se;cubic
Berzeliite;NaCa2Mg2(As5+O4)3;Na Ca Mg As O;cubic
Beshtauite;(N3-H4)2(U6+O2)(S6+O4)2·2H2O;N H U O S;monoclinic
Betekhtinite;(Cu,Fe)21Pb2S15;Cu Fe Pb S;orthorhombic
Betpakdalite-CaCa;[Ca2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O36(OH)];Ca H O Mo As Fe;monoclinic
Betpakdalite-CaMg;[Ca2(H2O)17Mg(H2O)6][Mo6+8As5+2Fe3+3O36(OH)];Ca H O Mg Mo As Fe;monoclinic
Betpakdalite-FeFe;[Fe3+2(H2O)15(OH)2Fe3+(H2O)6][Mo6+8As3+2Fe3+3O37];Fe H O Mo As;monoclinic
Betpakdalite-NaCa;[Na2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O34(OH)3];Na H O Ca Mo As Fe;monoclinic
Betpakdalite-NaNa;[Na2(H2O)16Na(H2O)6][Mo6+8As5+2Fe3+3O33(OH)4];Na H O Mo As Fe;monoclinic
Bettertonite;Al6(As5+O4)3(OH)9·16H2O;Al As O H;monoclinic
Betzite;Na6Ca2(Al6Si6O24)Cl4;Na Ca Al Si O Cl;hexagonal
Beudantite;Pb2+Fe3+3(As5+O4)(S6+O4)(OH)6;Pb Fe As O S H;hexagonal
Beusite;Mn2+Mn2+2(PO4)2;Mn P O;monoclinic
Beusite-(Ca);CaMn2+2(PO4)2;Ca Mn P O;monoclinic
Beyerite;CaBi3+2O2(CO3)2;Ca Bi O C;orthorhombic
Bezsmertnovite;(Au,Ag)4Cu(Te,Pb);Au Ag Cu Te Pb;orthorhombic
Biachellaite;(Na,Ca,K)8(Si6Al6O24)(S6+O4)2(OH)0.5·H2O;Na Ca K Si Al O S H;hexagonal
Biagioniite;Tl2SbS2;Tl Sb S;monoclinic
Bianchiniite;Ba2(Ti4+V3+)(As3+2O5)2OF;Ba Ti V As O F;tetragonal
Bianchite;Zn2+S6+O4·6H2O;Zn S O H;monoclinic
Bicapite;[KNa2Mg2(H2O)25][H2PV5+12O40(V5+O)2];K Na Mg H O P V;tetragonal
Bicchulite;Ca2Al2SiO6(OH)2;Ca Al Si O H;cubic
Bideauxite;Ag1+Pb2+2F2Cl3;Ag Pb F Cl;cubic
Bieberite;Co2+S6+O4·7H2O;Co S O H;monoclinic
Biehlite;Sb3+2Mo6+O6;Sb Mo O;monoclinic
Bigcreekite;BaSi2O5·4H2O;Ba Si O H;orthorhombic
Bijvoetite-(Y);Y8(U6+O2)16O8(CO3)16(OH)8·39H2O;Y U O C H;monoclinic|orthorhombic
Bikitaite;LiAlSi2O6·H2O;Li Al Si O H;triclinic|monoclinic
Bilibinskite;PbAu3Cu2Te2;Pb Au Cu Te;cubic
B?linite;Fe2+Fe3+2(S6+O4)4·22H2O;Fe S O H;monoclinic
Billietite;Ba(U6+O2)6O4(OH)6·8H2O;Ba U O H;orthorhombic
Billingsleyite;Ag7AsS6;Ag As S;cubic
Billwiseite;Sb3+5Nb5+3W6+O18;Sb Nb W O;monoclinic
Bimbowrieite;NaMgFe3+5(PO4)4(OH)6·2H2O;Na Mg Fe P O H;monoclinic
Bindheimite;Pb2+2Sb5+2O7;Pb Sb O;cubic
Biphosphammite;H2(N3-H4)PO4;N H P O;tetragonal
Biraite-(Ce);Ce3+2Fe2+Si2O7(CO3);Ce Fe Si O C;monoclinic
Biraite-(La);La2Fe2+(CO3)(Si2O7);La Fe C O Si;monoclinic
Birchite;Cd2+2Cu2+2(PO4)2S6+O4·5H2O;Cd Cu P O S H;orthorhombic
Biringuccite;Na2B5O8(OH)·H2O;Na B O H;monoclinic
Birnessite;(Na,Ca,K)0.6(Mn4+,Mn3+)2O4·1.5H2O;Na Ca K Mn O H;triclinic|monoclinic
Birunite;Ca18(SiO3)8.5(CO3)8.5S6+O4·15H2O;Ca Si O C S H;
Bischofite;MgCl2·6H2O;Mg Cl H O;monoclinic
Bismite;Bi3+2O3;Bi O;monoclinic
Bismoclite;Bi3+OCl;Bi O Cl;tetragonal
Bismuth;Bi;Bi;hexagonal
Bismuthinite;Bi3+2S2-3;Bi S;orthorhombic
