Column1;Column2;Column3;Column4
Ankinovichite;Ni2+Al4(V5+O3)2(OH)12·2H2O;Ni Al V O H;monoclinic
Annabergite;Ni2+3(As5+O4)2·8H2O;Ni As O H;monoclinic
Anningite-(Ce);(Ca0.5Ce4+0.5)(V5+O4);Ca Ce V O;tetragonal
Annite;KFe2+3AlSi3O10(OH)2;K Fe Al Si O H;monoclinic
Annivite-(Zn);Cu1+6(Cu1+4Zn2+2)Bi3+4S2-13;Cu Zn Bi S;cubic
Anorpiment;As3+2S2-3;As S;triclinic
Anorthite;CaAl2Si2O8;Ca Al Si O;triclinic
Anorthominasragrite;V4+O(S6+O4)·5H2O;V O S H;triclinic
Anorthoroselite;Ca2Co2+(As5+O4)2·2H2O;Ca Co As O H;triclinic
Anorthoyttrialite-(Y);Y4(SiO4)(Si3O10);Y Si O;triclinic
Ansermetite;Mn2+V5+2O6·4H2O;Mn V O H;monoclinic
Antarcticite;CaCl2·6H2O;Ca Cl H O;hexagonal
Anthoinite;AlW6+O3(OH)3;Al W O H;triclinic
Anthonyite;Cu2+(OH)2·3H2O;Cu O H;
Anthophyllite;[box]Mg2Mg5Si8O22(OH)2;Mg Si O H;orthorhombic
Antigorite;Mg3Si2O5(OH)4;Mg Si O H;monoclinic
Antimonselite;Sb3+2Se2-3;Sb Se;orthorhombic
Antimony;Sb;Sb;tetragonal|cubic, hexagonal
Antipinite;KNa3Cu2+2((C2)6+O4)4;K Na Cu C O;triclinic
Antipovite;Cu2+5O2(PO4)2;Cu O P;triclinic
Antlerite;Cu2+3(S6+O4)(OH)4;Cu S O H;orthorhombic
Antofagastaite;Na2Ca(S6+O4)2·1.5H2O;Na Ca S O H;monoclinic
Anyuiite;AuPb2;Au Pb;tetragonal
Anzaite-(Ce);Ce3+4Fe2+Ti4+6O18(OH)2;Ce Fe Ti O H;monoclinic
Apachite;Cu2+9Si10O29·11H2O;Cu Si O H;monoclinic
Apexite;NaMg(PO4)·9H2O;Na Mg P O H;triclinic
Aphthitalite;K3Na(S6+O4)2;K Na S O;hexagonal
Apjohnite;Mn2+Al2(S6+O4)4·22H2O;Mn Al S O H;monoclinic
Aplowite;Co2+S6+O4·4H2O;Co S O H;monoclinic
Apuanite;Fe2+Fe3+4Sb3+4O12S2-;Fe Sb O S;tetragonal
Aqualite;(H3O)8(Na,K,Sr)5Ca6Zr4+3Si26O66(OH)9Cl;H O Na K Sr Ca Zr Si Cl;hexagonal
Aradite;BaCa6(SiO4)(V5+O4)(V5+O4)2F;Ba Ca Si O V F;hexagonal
Aragonite;CaCO3;Ca C O;orthorhombic
Arakiite;Zn2+Mn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23;Zn Mn Fe As O H;monoclinic
Aramayoite;Ag1+3Sb3+2(Bi3+,Sb3+)S2-6;Ag Sb Bi S;triclinic
Arangasite;Al2(S6+O4)(PO4)F·9H2O;Al S O P F H;monoclinic
Arapovite;(K1-x[box]x)(Ca,Na)2U4+Si8O20 (x~0.5);K Ca Na U Si O;tetragonal
Aravaipaite;Pb2+3AlF9·H2O;Pb Al F H O;monoclinic|triclinic
Aravaite;Ba2Ca18(SiO4)6(PO4)3(CO3)F3O;Ba Ca Si O P C F;hexagonal
Arcanite;K2S6+O4;K S O;orthorhombic
Archerite;H2KPO4;H K P O;tetragonal
Arctite;(Na5Ca)Ca6Ba(PO4)6F3;Na Ca Ba P O F;hexagonal
Arcubisite;Ag6CuBiS4;Ag Cu Bi S;
Ardaite;Pb2+17Sb3+15S2-35Cl9;Pb Sb S Cl;monoclinic
Ardealite;Ca2(PO3OH)(S6+O4)·4H2O;Ca P O H S;monoclinic
Ardennite-(As);Mn2+4Al4(AlMg)(As5+O4)(SiO4)2(Si3O10)(OH)6;Mn Al Mg As O Si H;orthorhombic
Ardennite-(V);Mn2+4(AlMg)Al4(Si5V5+)O22(OH)6;Mn Al Mg V O Si H;orthorhombic
Arfvedsonite;NaNa2(Fe2+4Fe3+)Si8O22(OH)2;Na Fe Si O H;monoclinic
Argandite;Mn2+7(V5+O4)2(OH)8;Mn V O H;monoclinic
Argentobaumhauerite;Ag1.5Pb22As33.5S72;Ag Pb As S;triclinic|monoclinic
Argentodufr?noysite;Ag1+3Pb2+26As3+35S2-80;Ag Pb As S;triclinic
Argentojarosite;Ag1+Fe3+3(S6+O4)2(OH)6;Ag Fe S O H;hexagonal
Argentoliveingite;"Ag1+xPb2+40-2xAs3+48+xS2-112  (3 &lt; x &lt; 4)";Ag Pb As S;triclinic
Argentopearceite;[Ag1+9Ag1+S1-4][Ag1+6As3+2S1-7];Ag S As;hexagonal
Argentopentlandite;Ag(Fe,Ni)8S8;Ag Fe Ni S;cubic
Argentopolybasite;[Ag1+9Ag1+S2-4][Ag1+6Sb3+2S2-7];Ag S Sb;monoclinic|hexagonal
Argentopyrite;Ag1+Fe2+Fe3+S2-3;Ag Fe S;monoclinic
Argentotennantite-(Fe);Ag1+6(Cu1+4Fe2+2)As3+4S2-13;Ag Cu Fe As S;cubic
Argentotennantite-(Zn);Ag1+6Cu1+4Zn2+2As3+4S2-13;Ag Cu Zn As S;cubic
Argentotetrahedrite-(Cd);Ag1+6(Cu1+4Cd2+2)Sb3+4S2-13;Ag Cu Cd Sb S;cubic
Argentotetrahedrite-(Fe);Ag1+6(Cu1+4Fe2+2)Sb3+4S2-13;Ag Cu Fe Sb S;cubic
Argentotetrahedrite-(Hg);Ag1+6(Cu1+4Hg2+2)Sb3+4S2-13;Ag Cu Hg Sb S;cubic
Argentotetrahedrite-(Zn);Ag1+6(Cu1+4Zn2+2)Sb3+4S2-13;Ag Cu Zn Sb S;cubic
Argesite;(N3-H4)7Bi3+3Cl16;N H Bi Cl;hexagonal
Argutite;GeO2;Ge O;tetragonal
Argyrodite;Ag1+8Ge4+S2-6;Ag Ge S;orthorhombic
Arhbarite;Cu2+2MgAs5+O4(OH)3;Cu Mg As O H;triclinic
Ariegilatite;BaCa12(SiO4)4(PO4)2F2O;Ba Ca Si O P F;hexagonal
Arisite-(Ce);NaCe3+2(CO3)2[(CO3)1-xF2x]F;Na Ce C O F;hexagonal
Arisite-(La);NaLa2(CO3)2[(CO3)1-xF2x]F;Na La C O F;hexagonal
Aristarainite;Na2Mg[B6O8(OH)4]2·4H2O;Na Mg B O H;monoclinic
Armalcolite;(Mg,Fe2+)Ti4+2O5;Mg Fe Ti O;orthorhombic
Armangite;Mn2+26As3+18O50(CO3)(OH)4;Mn As O H C;hexagonal
Armbrusterite;Na6K5Mn3+Mn2+14[Si9O22]4(OH)10·4H2O;Na K Mn Si O H;monoclinic
Armellinoite-(Ce);Ca4Ce4+(As5+O4)4·H2O;Ca Ce As O H;tetragonal
Armenite;BaCa2(Al6Si9)O30·2H2O;Ba Ca Al Si O H;orthorhombic
Armstrongite;CaZr4+Si6O15·2H2O;Ca Zr Si O H;monoclinic
Arrheniusite-(Ce);CaMg[(Ce3+7Y3)Ca5](SiO4)3(Si3B3O18)(As5+O4)(BO3)F11;Ca Mg Ce Y Si O B As F;hexagonal
Arrojadite-(BaNa);BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH)2;Ba Na Ca Fe Al P O H;monoclinic
Arrojadite-(KFe);(KNa)Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2;K Na Fe Ca Al P O H;monoclinic
